File_name,phrase
D:\Infosys_Dataset\Dataset\Recordings\Train\1.mp3,learning new languauges is fun
D:\Infosys_Dataset\Dataset\Recordings\Train\2.mp3,she loves to swim in the ocean
D:\Infosys_Dataset\Dataset\Recordings\Train\3.mp3,quickly run across the street
D:\Infosys_Dataset\Dataset\Recordings\Train\4.mp3,sky is blue today
D:\Infosys_Dataset\Dataset\Recordings\Train\5.mp3,star twinkle brighlty in the night sky
D:\Infosys_Dataset\Dataset\Recordings\Train\6.mp3,childern laugh and play in the park
D:\Infosys_Dataset\Dataset\Recordings\Train\7.mp3,the mountain stand tall and majestic
D:\Infosys_Dataset\Dataset\Recordings\Train\8.mp3,the leaf change color in the autumn
D:\Infosys_Dataset\Dataset\Recordings\Train\9.mp3,technology is advancing everyday
D:\Infosys_Dataset\Dataset\Recordings\Train\10.mp3,sunflowers turns their head towards the sun
D:\Infosys_Dataset\Dataset\Recordings\Train\11.mp3,the child gigles while playing with her toy
D:\Infosys_Dataset\Dataset\Recordings\Train\12.mp3,friends gather around the dinner table
D:\Infosys_Dataset\Dataset\Recordings\Train\13.mp3,music makes everything feel better
D:\Infosys_Dataset\Dataset\Recordings\Train\14.mp3,the sound of waves calms my mind
D:\Infosys_Dataset\Dataset\Recordings\Train\15.mp3,reading books exapnd your knowledge
D:\Infosys_Dataset\Dataset\Recordings\Train\16.mp3,the city lights shimmer in the evening
D:\Infosys_Dataset\Dataset\Recordings\Train\17.mp3,he enjoy playing the guitar
D:\Infosys_Dataset\Dataset\Recordings\Train\18.mp3,exercise keep your body healthy
D:\Infosys_Dataset\Dataset\Recordings\Train\19.mp3,exercise keep your body healthy
D:\Infosys_Dataset\Dataset\Recordings\Train\20.mp3,the baby is smiled at everyone in the room
D:\Infosys_Dataset\Dataset\Recordings\Train\21.wav,no pressure no diamonds
D:\Infosys_Dataset\Dataset\Recordings\Train\22.wav,do small things with great love
D:\Infosys_Dataset\Dataset\Recordings\Train\23.wav,small steps yield big results
D:\Infosys_Dataset\Dataset\Recordings\Train\24.wav,whatever you are be a good one 
D:\Infosys_Dataset\Dataset\Recordings\Train\25.wav,every emotion has a story to tell
D:\Infosys_Dataset\Dataset\Recordings\Train\26.wav,a little empathy goes a long way
D:\Infosys_Dataset\Dataset\Recordings\Train\27.wav,smile because life is too short to be unhappy
D:\Infosys_Dataset\Dataset\Recordings\Train\28.wav,stop existing and start living
D:\Infosys_Dataset\Dataset\Recordings\Train\29.wav,stay close to anything that makes you glad you are alive
D:\Infosys_Dataset\Dataset\Recordings\Train\30.wav,time moves slowly but passes quickly
D:\Infosys_Dataset\Dataset\Recordings\Train\31.wav,difficult roads often lead to beautiful destinations
D:\Infosys_Dataset\Dataset\Recordings\Train\32.wav,aspire to inspire before we expire
D:\Infosys_Dataset\Dataset\Recordings\Train\33.wav,simplicity is the ultimate sophistication
D:\Infosys_Dataset\Dataset\Recordings\Train\34.wav,remember why you started
D:\Infosys_Dataset\Dataset\Recordings\Train\35.wav,don't let anyone dull your sparkle 
D:\Infosys_Dataset\Dataset\Recordings\Train\36.wav,for some walks you have to take alone 
D:\Infosys_Dataset\Dataset\Recordings\Train\37.wav,luck is the residue of design
D:\Infosys_Dataset\Dataset\Recordings\Train\38.wav,the best is yet to come
D:\Infosys_Dataset\Dataset\Recordings\Train\39.wav,it always seems impossible until it's done
D:\Infosys_Dataset\Dataset\Recordings\Train\40.wav,"autumn, the season that teaches us change can be beautiful "
D:\Infosys_Dataset\Dataset\Recordings\Train\42.mp3,What time are we meeting tomorrow?
D:\Infosys_Dataset\Dataset\Recordings\Train\43.mp3,I need to charge my phone.
D:\Infosys_Dataset\Dataset\Recordings\Train\44.mp3,Could you help me with this?
D:\Infosys_Dataset\Dataset\Recordings\Train\45.mp3,I will call you back in five minutes.
D:\Infosys_Dataset\Dataset\Recordings\Train\46.mp3,Where is the nearest grocery store?
D:\Infosys_Dataset\Dataset\Recordings\Train\47.mp3,Do you want to grab lunch together?
D:\Infosys_Dataset\Dataset\Recordings\Train\48.mp3,An apple a day keeps the doctor away.
D:\Infosys_Dataset\Dataset\Recordings\Train\49.mp3,Better late than never.
D:\Infosys_Dataset\Dataset\Recordings\Train\50.mp3,Actions speak louder than words.
D:\Infosys_Dataset\Dataset\Recordings\Train\51.mp3,Every cloud has a silver lining.
D:\Infosys_Dataset\Dataset\Recordings\Train\52.mp3,How was your day at work?
D:\Infosys_Dataset\Dataset\Recordings\Train\53.mp3,I'll be out of town next weekend.
D:\Infosys_Dataset\Dataset\Recordings\Train\54.mp3,Do you have any plans for tonight?
D:\Infosys_Dataset\Dataset\Recordings\Train\55.mp3,Iâ??ll get back to you as soon as I can.
D:\Infosys_Dataset\Dataset\Recordings\Train\56.mp3,"She sells seashells by the seashore, and the shells she sells are surely seashells."
D:\Infosys_Dataset\Dataset\Recordings\Train\57.mp3,The juxtaposition of light and dark shadows created an eerie ambiance in the twilight hours.
D:\Infosys_Dataset\Dataset\Recordings\Train\58.mp3,Six slippery snails slid slowly seaward while the sun silently sank.
D:\Infosys_Dataset\Dataset\Recordings\Train\59.mp3,"The intricate machinery whirred and clanked, producing a cacophony of clashing metal."
D:\Infosys_Dataset\Dataset\Recordings\Train\60.mp3,"In the labyrinth of logic, many find themselves ensnared by paradoxes and contradictions."
D:\Infosys_Dataset\Dataset\Recordings\Train\61.mp3,"Phenomenologically, the mind's perception of time can warp under extreme conditions of stress."
D:\Infosys_Dataset\Dataset\Recordings\Train\62.mp3,The committee's convoluted decision-making process left everyone bewildered and frustrated.
D:\Infosys_Dataset\Dataset\Recordings\Train\63.mp3,Rarely is the weather so simultaneously serene yet foreboding in its stillness.
D:\Infosys_Dataset\Dataset\Recordings\Train\64.mp3,"Surreptitiously, she sidestepped the serpentine shadows that snaked through the alley."
D:\Infosys_Dataset\Dataset\Recordings\Train\65.mp3,The quicksand of bureaucracy often entangles those who venture into its depths unprepared.
D:\Infosys_Dataset\Dataset\Recordings\Train\66.mp3,"Despite the cacophonous environment, she remained resolute in her determination."
D:\Infosys_Dataset\Dataset\Recordings\Train\67.mp3,The labyrinthine complexity of the situation left everyone baffled.
D:\Infosys_Dataset\Dataset\Recordings\Train\68.mp3,The flurry of activity in the market was both exhilarating and overwhelming.
D:\Infosys_Dataset\Dataset\Recordings\Train\69.mp3,The conspicuous absence of evidence left the jury in a state of confusion.
D:\Infosys_Dataset\Dataset\Recordings\Train\70.wav,A sunny day at the beach.
D:\Infosys_Dataset\Dataset\Recordings\Train\71.wav,A playful puppy in a park.
D:\Infosys_Dataset\Dataset\Recordings\Train\72.wav,A field of sunflowers.
D:\Infosys_Dataset\Dataset\Recordings\Train\73.wav,A colorful butterfly on a flower.
D:\Infosys_Dataset\Dataset\Recordings\Train\74.wav,A cheerful birthday party.
D:\Infosys_Dataset\Dataset\Recordings\Train\75.wav,A clear night sky full of stars.
D:\Infosys_Dataset\Dataset\Recordings\Train\76.wav,A cute cat playing with paper.
D:\Infosys_Dataset\Dataset\Recordings\Train\77.wav,A calm river flowing through the forest.
