File_name,phrase
D:\infosys project\Dataset\Dataset\Recordings\Train\1.mp3,learning new languauges is fun
D:\infosys project\Dataset\Dataset\Recordings\Train\2.mp3,she loves to swim in the ocean
D:\infosys project\Dataset\Dataset\Recordings\Train\3.mp3,quickly run across the street
D:\infosys project\Dataset\Dataset\Recordings\Train\4.mp3,sky is blue today
D:\infosys project\Dataset\Dataset\Recordings\Train\5.mp3,star twinkle brighlty in the night sky
D:\infosys project\Dataset\Dataset\Recordings\Train\6.mp3,childern laugh and play in the park
D:\infosys project\Dataset\Dataset\Recordings\Train\7.mp3,the mountain stand tall and majestic
D:\infosys project\Dataset\Dataset\Recordings\Train\8.mp3,the leaf change color in the autumn
D:\infosys project\Dataset\Dataset\Recordings\Train\9.mp3,technology is advancing everyday
D:\infosys project\Dataset\Dataset\Recordings\Train\10.mp3,sunflowers turns their head towards the sun
D:\infosys project\Dataset\Dataset\Recordings\Train\11.mp3,the child gigles while playing with her toy
D:\infosys project\Dataset\Dataset\Recordings\Train\12.mp3,friends gather around the dinner table
D:\infosys project\Dataset\Dataset\Recordings\Train\13.mp3,music makes everything feel better
D:\infosys project\Dataset\Dataset\Recordings\Train\14.mp3,the sound of waves calms my mind
D:\infosys project\Dataset\Dataset\Recordings\Train\15.mp3,reading books exapnd your knowledge
D:\infosys project\Dataset\Dataset\Recordings\Train\16.mp3,the city lights shimmer in the evening
D:\infosys project\Dataset\Dataset\Recordings\Train\17.mp3,he enjoy playing the guitar
D:\infosys project\Dataset\Dataset\Recordings\Train\18.mp3,exercise keep your body healthy
D:\infosys project\Dataset\Dataset\Recordings\Train\19.mp3,exercise keep your body healthy
D:\infosys project\Dataset\Dataset\Recordings\Train\20.mp3,the baby is smiled at everyone in the room
D:\infosys project\Dataset\Dataset\Recordings\Train\21.wav,no pressure no diamonds
D:\infosys project\Dataset\Dataset\Recordings\Train\22.wav,do small things with great love
D:\infosys project\Dataset\Dataset\Recordings\Train\23.wav,small steps yield big results
D:\infosys project\Dataset\Dataset\Recordings\Train\24.wav,whatever you are be a good one 
D:\infosys project\Dataset\Dataset\Recordings\Train\25.wav,every emotion has a story to tell
D:\infosys project\Dataset\Dataset\Recordings\Train\26.wav,a little empathy goes a long way
D:\infosys project\Dataset\Dataset\Recordings\Train\27.wav,smile because life is too short to be unhappy
D:\infosys project\Dataset\Dataset\Recordings\Train\28.wav,stop existing and start living
D:\infosys project\Dataset\Dataset\Recordings\Train\29.wav,stay close to anything that makes you glad you are alive
D:\infosys project\Dataset\Dataset\Recordings\Train\30.wav,time moves slowly but passes quickly
